Time	"FINISHED" "BLOCKED" "INITIALIZE" "(print a)" "(print b)" "(print c)" "(*****JAM-PRINTER******)" "(repair-printer alice)" "(repair-printer bob)" "(get-coffee alice)" "(get-coffee bob)" "(fetch alice water water-tap)" "(fetch alice paper paper-stack)" "(fetch alice ground-coffee coffee-jar)" "(fetch bob water water-tap)" "(fetch bob paper paper-stack)" "(fetch bob ground-coffee coffee-jar)" "(replenish alice water coffee-machine)" "(replenish alice paper printer)" "(replenish alice ground-coffee coffee-machine)" "(replenish bob water coffee-machine)" "(replenish bob paper printer)" "(replenish bob ground-coffee coffee-machine)" "(goto alice door printer)" "(goto alice door paper-stack)" "(goto alice door coffee-machine)" "(goto alice door water-tap)" "(goto alice door coffee-jar)" "(goto alice printer door)" "(goto alice printer paper-stack)" "(goto alice printer coffee-machine)" "(goto alice printer water-tap)" "(goto alice printer coffee-jar)" "(goto alice paper-stack door)" "(goto alice paper-stack printer)" "(goto alice paper-stack coffee-machine)" "(goto alice paper-stack water-tap)" "(goto alice paper-stack coffee-jar)" "(goto alice coffee-machine door)" "(goto alice coffee-machine printer)" "(goto alice coffee-machine paper-stack)" "(goto alice coffee-machine water-tap)" "(goto alice coffee-machine coffee-jar)" "(goto alice water-tap door)" "(goto alice water-tap printer)" "(goto alice water-tap paper-stack)" "(goto alice water-tap coffee-machine)" "(goto alice water-tap coffee-jar)" "(goto alice coffee-jar door)" "(goto alice coffee-jar printer)" "(goto alice coffee-jar paper-stack)" "(goto alice coffee-jar coffee-machine)" "(goto alice coffee-jar water-tap)" "(goto bob door printer)" "(goto bob door paper-stack)" "(goto bob door coffee-machine)" "(goto bob door water-tap)" "(goto bob door coffee-jar)" "(goto bob printer door)" "(goto bob printer paper-stack)" "(goto bob printer coffee-machine)" "(goto bob printer water-tap)" "(goto bob printer coffee-jar)" "(goto bob paper-stack door)" "(goto bob paper-stack printer)" "(goto bob paper-stack coffee-machine)" "(goto bob paper-stack water-tap)" "(goto bob paper-stack coffee-jar)" "(goto bob coffee-machine door)" "(goto bob coffee-machine printer)" "(goto bob coffee-machine paper-stack)" "(goto bob coffee-machine water-tap)" "(goto bob coffee-machine coffee-jar)" "(goto bob water-tap door)" "(goto bob water-tap printer)" "(goto bob water-tap paper-stack)" "(goto bob water-tap coffee-machine)" "(goto bob water-tap coffee-jar)" "(goto bob coffee-jar door)" "(goto bob coffee-jar printer)" "(goto bob coffee-jar paper-stack)" "(goto bob coffee-jar coffee-machine)" "(goto bob coffee-jar water-tap)" "(enter alice)" "(enter bob)" "(exit alice)" "(exit bob)"
0	0 0 0.99999999999994627 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.50590000000001289 0.49410000000001414 0 0
2	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.51668726823238154 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.48331273176761114 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
3	0 0 0 0 0 0 0 0.52821063944117264 0.47178936055885007 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
4	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.53349514563109124 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.46650485436895228 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
5	0 0 0 0 0 0 0.10259740259740147 0 0 0 0 0 0.45974025974025584 0 0 0.43766233766233376 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
6	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.49817887494943203 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.50182112505060605 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
7	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.48313384113167229 0.51686615886834264 0 0
8	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.48524431543301688 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.51475568456702903 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
9	0 0 0 0 0 0 0.061335403726707094 0 0 0 0 0.249999999999996 0 0 0.21894409937887849 0 0 0 0.24922360248446807 0 0 0.22049689440993436 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
