Time	"FINISHED" "BLOCKED" "INITIALIZE" "(print a)" "(print b)" "(print c)" "(*****JAM-PRINTER******)" "(repair-printer alice)" "(repair-printer bob)" "(get-coffee alice)" "(get-coffee bob)" "(fetch alice water water-tap)" "(fetch alice paper paper-stack)" "(fetch alice ground-coffee coffee-jar)" "(fetch bob water water-tap)" "(fetch bob paper paper-stack)" "(fetch bob ground-coffee coffee-jar)" "(replenish alice water coffee-machine)" "(replenish alice paper printer)" "(replenish alice ground-coffee coffee-machine)" "(replenish bob water coffee-machine)" "(replenish bob paper printer)" "(replenish bob ground-coffee coffee-machine)" "(goto alice door printer)" "(goto alice door paper-stack)" "(goto alice door coffee-machine)" "(goto alice door water-tap)" "(goto alice door coffee-jar)" "(goto alice printer door)" "(goto alice printer paper-stack)" "(goto alice printer coffee-machine)" "(goto alice printer water-tap)" "(goto alice printer coffee-jar)" "(goto alice paper-stack door)" "(goto alice paper-stack printer)" "(goto alice paper-stack coffee-machine)" "(goto alice paper-stack water-tap)" "(goto alice paper-stack coffee-jar)" "(goto alice coffee-machine door)" "(goto alice coffee-machine printer)" "(goto alice coffee-machine paper-stack)" "(goto alice coffee-machine water-tap)" "(goto alice coffee-machine coffee-jar)" "(goto alice water-tap door)" "(goto alice water-tap printer)" "(goto alice water-tap paper-stack)" "(goto alice water-tap coffee-machine)" "(goto alice water-tap coffee-jar)" "(goto alice coffee-jar door)" "(goto alice coffee-jar printer)" "(goto alice coffee-jar paper-stack)" "(goto alice coffee-jar coffee-machine)" "(goto alice coffee-jar water-tap)" "(goto bob door printer)" "(goto bob door paper-stack)" "(goto bob door coffee-machine)" "(goto bob door water-tap)" "(goto bob door coffee-jar)" "(goto bob printer door)" "(goto bob printer paper-stack)" "(goto bob printer coffee-machine)" "(goto bob printer water-tap)" "(goto bob printer coffee-jar)" "(goto bob paper-stack door)" "(goto bob paper-stack printer)" "(goto bob paper-stack coffee-machine)" "(goto bob paper-stack water-tap)" "(goto bob paper-stack coffee-jar)" "(goto bob coffee-machine door)" "(goto bob coffee-machine printer)" "(goto bob coffee-machine paper-stack)" "(goto bob coffee-machine water-tap)" "(goto bob coffee-machine coffee-jar)" "(goto bob water-tap door)" "(goto bob water-tap printer)" "(goto bob water-tap paper-stack)" "(goto bob water-tap coffee-machine)" "(goto bob water-tap coffee-jar)" "(goto bob coffee-jar door)" "(goto bob coffee-jar printer)" "(goto bob coffee-jar paper-stack)" "(goto bob coffee-jar coffee-machine)" "(goto bob coffee-jar water-tap)" "(enter alice)" "(enter bob)" "(exit alice)" "(exit bob)"
0	0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.5 0.5 0 0
2	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
3	0 0 0 0 0 0 0 0.5 0.5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
4	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
5	0 0 0 0 0 0 0.11920292202211755 0 0 0 0 0 0.44039853898894127 0 0 0.44039853898894127 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
6	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
7	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.5 0.5 0 0
8	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.49999999999999994 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.50000000000000011 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
9	0 0 0 0 0 0 0.063141754404340777 0.00093557865962710343 0.00093557865962710343 0 0 0.23421456139891475 0 0 0.23421456139891478 0 0 0 0.23327898273928768 0 0 0.23327898273928765 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
