Time	"FINISHED" "BLOCKED" "INITIALIZE" "(putOnSock right)" "(putOnSock left)" "(putOnShoe right)" "(putOnShoe left)"
0	0 0 1.0000000000000007 0 0 0 0
1	0 0 0 0.10036057692307658 0.8996394230769178 0 0
2	0 0 0 0.014238936296884174 0.97764933518554231 7.4419527684063105e-05 0.008037308989878816
3	0 0 0 0.005063690612807017 0.95515262795502665 4.5903144365389052e-05 0.039737778287812726
4	0 0 0 0.006440496144820694 0.90089607777407821 1.4415018437814592e-05 0.092649011062690509
5	0 0 0 0.014424145991971711 0.79880242934385393 6.6477228723880282e-06 0.18676677694131036
6	0 0 0 0.6885251803870881 0.218347963678069 0.0020418091141122178 0.091085046820740617
7	0 0 0 0.96181318681318306 0.017307692307692201 0.0086538461538460815 0.012225274725274637
8	0 0 0 0.95279943302622039 0.001007953382156085 0.043373493975904079 0.0028191196157178041
9	0 0 0 0.89047650151865898 6.3504505191039196e-05 0.1050818119468296 0.0043781820293136509
10	0 0 0 0.79143154430000417 3.6486355390837525e-06 0.20178392522786789 0.0067808818365771868
11	0 0 0 0.32209091196741108 8.4065962357364682e-06 0.14835342217938136 0.52954725925698121
12	0 0 0 0.037686369523316499 5.4643020855082784e-06 0.044589559517662324 0.9177186066569466
13	0 0 0 0.0766078184110974 0 0.73770491803279259 0.18568726355611712
14	0 0 0 0.060349243306169552 0 0.92535506402793988 0.014295692665890425
