Time	"FINISHED" "BLOCKED" "INITIALIZE" "(putOnSock right)" "(putOnSock left)" "(putOnShoe right)" "(putOnShoe left)"
0	0 0 1 0 0 0 0
1	0 0 0 0.10000000000000001 0.90000000000000002 0 0
2	0 0 0 0.012989900203568289 0.9786337847983233 0.00010215018290376118 0.008274164815204656
3	0 0 0 0.0040886091292207478 0.96572608634572654 4.3082038185083146e-05 0.030142222486867598
4	0 0 0 0.0067371572191215062 0.9178814926061547 1.7647782023322322e-05 0.075363702392700516
5	0 0 0 0.01310257472224517 0.83371357129454904 1.9462219411605378e-05 0.15316439176379418
6	0 0 0 0.64860040451314327 0.25475036369524884 0.00115046192259208 0.095498769869015759
7	0 0 0 0.94762609364600492 0.023168111244893951 0.011668505050213329 0.017537290058887722
8	0 0 0 0.95589549493575465 0.0013844914157608952 0.038737718387631959 0.0039822952608526956
9	0 0 0 0.90208077505759354 6.9453978007043502e-05 0.092962390723173263 0.00488738024122612
10	0 0 0 0.8079859314827319 4.3809243248085899e-06 0.18306565714401773 0.0089440304489253695
11	0 0 0 0.31220083497847556 5.0676220229391581e-05 0.14222714616319973 0.54552134263809582
12	0 0 0 0.038208715357806906 8.5895837673988595e-05 0.045344509279663603 0.91636087952485523
13	0 0 0 0.053373666247554991 2.3362099534032045e-05 0.77880162216691851 0.16780134948599254
14	0 0 0 0.030935755341787746 3.0416095563580783e-06 0.95568504625012762 0.013376156798528143
