Time;isnew;name;pStop;sal;wsal;psal;spec;wspec;pspec;gd;wgd;pgd;rec;wrec;prec;ref;wref;pref;revisit;previsit;bfactor;hitcount;entropy;pat;patsum;patn;paAgent1t;logpaAgent1t;paTeam1t;logpaTeam1t;pyx;logpaTeam1ty
Validating plan: /Users/fk169/Projects/CCBM/Examples/Validator/plan.pddl
0;;(INITIALIZE);1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;-0;0;0;0;1;0;1;0;1;0
1;*;(move sink counter);1;1;0;1;0.2;0;1;-0;0;1;0.367879;0;1;1;0;1;0;1;1;1;-0;1;1;1;1;0;1;0;1;0
2;*;(take knife counter);1;1;0;0.333333;1.95;0;0.47561;-0;0;0.333333;0.193471;0;0.256314;0.367879;0;0.333333;0;0.333333;3;0.333333;1.09861;1;3;0.333333;0.333333;-1.09861;0.333333;-1.09861;1;-1.09861
3;*;(move counter sink);1;1;0;0.5;0.2;0;0.105263;-0;0;0.5;0.135335;0;0.317912;0.205622;0;0.644029;0;0.5;2;0.5;0.693147;1;2;0.5;0.166667;-1.79176;0.166667;-1.79176;1;-1.79176
4;*;(move sink counter);1;1;0;0.5;0.2;0;0.105263;-0;0;0.5;0.367879;0;0.679092;0.167738;0;0.517394;0;0.5;2;0.5;0.693147;1;2;0.5;0.0833333;-2.48491;0.0833333;-2.48491;1;-2.48491
5;*;(move counter sink);1;1;0;0.5;0.2;0;0.105263;-0;0;0.5;0.367879;0;0.702466;0.105884;0;0.515139;0;0.5;2;0.5;0.693147;1;2;0.5;0.0416667;-3.17805;0.0416667;-3.17805;1;-3.17805
6;*;(put knife sink);1;1;0;0.5;1.7;0;0.894737;-0;0;0.5;0.129558;0;0.260451;0.0862806;0;0.497361;0;0.5;2;0.5;0.693147;1;2;0.5;0.0208333;-3.8712;0.0208333;-3.8712;1;-3.8712
7;*;(move sink counter);1;1;0;0.5;0.2;0;0.0930233;-0;0;0.5;0.135335;0;0.30407;0.067607;0;0.720934;0;0.5;2;0.5;0.693147;1;2;0.5;0.0104167;-4.56435;0.0104167;-4.56435;1;-4.56435
8;*;(take carrot counter);1;1;0;0.5;1.95;0;0.906977;-0;0;0.5;0.125971;0;0.25508;0.0748117;0;0.499704;0;0.5;2;0.5;0.693147;1;2;0.5;0.00520833;-5.2575;0.00520833;-5.2575;1;-5.2575
9;*;(move counter sink);1;1;0;0.5;0.2;0;0.105263;-0;0;0.5;0.135335;0;0.317912;0.0585987;0;0.622034;0;0.5;2;0.5;0.693147;1;2;0.5;0.00260417;-5.95064;0.00260417;-5.95064;1;-5.95064
10;*;(move sink counter);1;1;0;0.5;0.2;0;0.105263;-0;0;0.5;0.367879;0;0.686813;0.0581567;0;0.5167;0;0.5;2;0.5;0.693147;1;2;0.5;0.00130208;-6.64379;0.00130208;-6.64379;1;-6.64379
11;*;(put carrot counter);1;1;0;0.5;1.7;0;0.894737;-0;0;0.5;0.155818;0;0.297534;0.040643;0;0.485143;0;0.5;2;0.5;0.693147;1;2;0.5;0.000651042;-7.33694;0.000651042;-7.33694;1;-7.33694
12;*;(move counter sink);1;1;0;0.5;0.2;0;0.0930233;-0;0;0.5;0.135335;0;0.30407;0.0403911;0;0.735961;0;0.5;2;0.5;0.693147;1;2;0.5;0.000325521;-8.03008;0.000325521;-8.03008;1;-8.03008
13;*;(take knife sink);1;1;0;0.5;1.95;0;0.906977;-0;0;0.5;0.12626;0;0.255514;0.0526965;0;0.498915;0;0.5;2;0.5;0.693147;1;2;0.5;0.00016276;-8.72323;0.00016276;-8.72323;1;-8.72323
14;*;(move sink counter);1;1;0;0.5;0.2;0;0.105263;-0;0;0.5;0.135335;0;0.317912;0.0470596;0;0.621636;0;0.5;2;0.5;0.693147;1;2;0.5;8.13802e-05;-9.41638;8.13802e-05;-9.41638;1;-9.41638
15;*;(move counter sink);1;1;0;0.5;0.2;0;0.105263;-0;0;0.5;0.367879;0;0.686831;0.0523306;0;0.516724;0;0.5;2;0.5;0.693147;1;2;0.5;4.06901e-05;-10.1095;4.06901e-05;-10.1095;1;-10.1095
16;*;(put knife sink);1;1;0;0.5;1.7;0;0.894737;-0;0;0.5;0.155818;0;0.297534;0.0406627;0;0.485132;0;0.5;2;0.5;0.693147;1;2;0.5;2.03451e-05;-10.8027;2.03451e-05;-10.8027;1;-10.8027
17;*;(take knife sink);1;1;0;0.5;1.95;0;0.906977;-0;0;0.5;0.309743;0;0.69593;0.014498;0;0.26409;0;0.5;2;0.5;0.693147;1;2;0.5;1.01725e-05;-11.4958;1.01725e-05;-11.4958;1;-11.4958
18;*;(put knife sink);1;1;0;0.5;1.7;0;0.894737;-0;0;0.5;0.261849;0;0.84024;0.0147001;0;0.257204;0;0.5;2;0.5;0.693147;1;2;0.5;5.08626e-06;-12.189;5.08626e-06;-12.189;1;-12.189
