Init xI yI Goal xG yG LL
11 1 1 11 1 1 -1592.55
11 1 1 12 1 2 -173.026
11 1 1 13 1 3 -176.232
11 1 1 14 1 4 -175.735
11 1 1 15 1 5 -173.092
11 1 1 21 2 1 -188.8
11 1 1 22 2 2 -175.621
11 1 1 23 2 3 -173.58
11 1 1 24 2 4 -172.983
11 1 1 25 2 5 -171.976
11 1 1 31 3 1 -175.648
11 1 1 32 3 2 -177.324
11 1 1 33 3 3 -172.498
11 1 1 34 3 4 -172.775
11 1 1 35 3 5 -169.229
11 1 1 41 4 1 -170.875
11 1 1 42 4 2 -234.328
11 1 1 43 4 3 -171.353
11 1 1 44 4 4 -170.803
11 1 1 45 4 5 -170.03
11 1 1 51 5 1 -171.712
11 1 1 52 5 2 -171.039
11 1 1 53 5 3 -184.353
11 1 1 54 5 4 -182.458
11 1 1 55 5 5 -163.207
12 1 2 11 1 1 -182.143
12 1 2 12 1 2 -1329.35
12 1 2 13 1 3 -180.78
12 1 2 14 1 4 -179.857
12 1 2 15 1 5 -178.528
12 1 2 21 2 1 -186.822
12 1 2 22 2 2 -179.184
12 1 2 23 2 3 -180.656
12 1 2 24 2 4 -178.321
12 1 2 25 2 5 -178.202
12 1 2 31 3 1 -180.854
12 1 2 32 3 2 -185.637
12 1 2 33 3 3 -178.835
12 1 2 34 3 4 -177.361
12 1 2 35 3 5 -177.512
12 1 2 41 4 1 -178.583
12 1 2 42 4 2 -199.717
12 1 2 43 4 3 -178.485
12 1 2 44 4 4 -176.613
12 1 2 45 4 5 -175.978
12 1 2 51 5 1 -175.124
12 1 2 52 5 2 -177.589
12 1 2 53 5 3 -192.265
12 1 2 54 5 4 -190.175
12 1 2 55 5 5 -171.407
13 1 3 11 1 1 -192.49
13 1 3 12 1 2 -191.564
13 1 3 13 1 3 -1215.12
13 1 3 14 1 4 -188.296
13 1 3 15 1 5 -186.576
13 1 3 21 2 1 -197.353
13 1 3 22 2 2 -189.159
13 1 3 23 2 3 -190.409
13 1 3 24 2 4 -189.291
13 1 3 25 2 5 -191.73
13 1 3 31 3 1 -187.359
13 1 3 32 3 2 -195.105
13 1 3 33 3 3 -188.508
13 1 3 34 3 4 -188.95
13 1 3 35 3 5 -187.305
13 1 3 41 4 1 -189.903
13 1 3 42 4 2 -193.512
13 1 3 43 4 3 -189.647
