Time	"FINISHED" "BLOCKED" "INITIALIZE" "(step 11 12)" "(step 11 21)" "(step 12 11)" "(step 12 13)" "(step 12 22)" "(step 13 12)" "(step 13 14)" "(step 13 23)" "(step 14 13)" "(step 14 15)" "(step 14 24)" "(step 15 14)" "(step 15 25)" "(step 21 11)" "(step 21 22)" "(step 21 31)" "(step 22 12)" "(step 22 21)" "(step 22 23)" "(step 22 32)" "(step 23 13)" "(step 23 22)" "(step 23 24)" "(step 23 33)" "(step 24 14)" "(step 24 23)" "(step 24 25)" "(step 24 34)" "(step 25 15)" "(step 25 24)" "(step 25 35)" "(step 31 21)" "(step 31 32)" "(step 31 41)" "(step 32 22)" "(step 32 31)" "(step 32 33)" "(step 32 42)" "(step 33 23)" "(step 33 32)" "(step 33 34)" "(step 33 43)" "(step 34 24)" "(step 34 33)" "(step 34 35)" "(step 34 44)" "(step 35 25)" "(step 35 34)" "(step 35 45)" "(step 41 31)" "(step 41 42)" "(step 41 51)" "(step 42 32)" "(step 42 41)" "(step 42 43)" "(step 42 52)" "(step 43 33)" "(step 43 42)" "(step 43 44)" "(step 43 53)" "(step 44 34)" "(step 44 43)" "(step 44 45)" "(step 44 54)" "(step 45 35)" "(step 45 44)" "(step 45 55)" "(step 51 41)" "(step 51 52)" "(step 52 42)" "(step 52 51)" "(step 52 53)" "(step 53 43)" "(step 53 52)" "(step 53 54)" "(step 54 44)" "(step 54 53)" "(step 54 55)" "(step 55 45)" "(step 55 54)"
0	0 0 0.99999999999995826 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1	0 0 0.9462917197998294 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0013083292386441483 0.011924530376468968 0.040475420585053615 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2	0 0 0.91114709285880313 4.236498133018062e-06 0 0 0 0 0 0 0 0 0 0 0 0 0.0012714602346454126 0.015149364737616073 0.071625207435366239 6.4939703243445996e-06 0 4.5267954626213803e-06 0.00011984998200075168 0 0 0 0 0 0 0 0 0 0 0 0 0.00042821754161525118 0.00024354994575758631 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
3	0 0 0.93024945286469851 1.132560497715735e-05 0 0 1.3107852001370759e-08 0 0 0 0 0 0 0 0 0 0.0026301908481400735 0.017736904834943761 0.048514763542413353 4.7973207508767451e-06 0 1.1862280941618162e-05 8.0417547001941368e-05 1.427684115055084e-09 0 0 1.7448197086696619e-09 0 0 0 0 0 0 0 0 0.00065118217012172621 0.00010158912280219005 7.0224454531136637e-06 0 2.9041104236630706e-07 1.0535172352033807e-07 0 0 0 0 0 0 0 0 0 0 0 0 7.5327152403933845e-08 4.0475738816871228e-09 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
4	0 0 0.93546408925185143 1.6317007821125613e-05 0 0 6.573349211418528e-11 3.3703059226937653e-08 0 0 0 0 0 0 0 0 0.0031009248874070885 0.021193021399198583 0.03954603144189011 1.8886575660988623e-05 0 1.2144997561013604e-05 0.00014033435236478274 7.1595759937407673e-12 0 1.0322363784062213e-11 6.8563807866025666e-10 0 0 0 0 0 0 0 0 0.00043766131096998858 6.3776756158526711e-05 6.152979398843086e-06 4.1276462262340903e-07 9.7366139566889414e-08 8.9550192210036523e-08 0 0 4.516516769163332e-12 0 0 0 0 0 0 0 0 0 2.343677720525508e-08 1.4454740655618539e-09 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
5	0 0 0.94044985842541595 3.4103027491082878e-05 0 0 2.257139530618149e-08 1.1286493734175795e-08 0 0 0 0 0 0 0 0 0.002907373160548685 0.020090561312209022 0.035949322145848367 1.9572528067419214e-05 0 1.5980979798837593e-05 0.00014568953136203473 3.5515656735064166e-14 0 9.9355654791325285e-11 4.3009963749763319e-09 0 0 0 1.2619980639845998e-17 0 0 0 0 0.00033502312135781913 4.8791670898157952e-05 2.9430445905477709e-06 2.4140852255592623e-07 1.9729924247496081e-07 2.7338105125987519e-07 0 0 2.3233019107072152e-14 0 0 0 0 0 0 0 0 0 3.0412488604163354e-08 2.9251991666599622e-10 0 0 1.3727121385392596e-13 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
6	0 0 0.94444811987472443 5.2740968096898598e-05 0 1.8678356334982268e-08 8.9377707875717351e-08 2.435292015058699e-08 0 0 0 0 0 0 0 0 0.0031531807049191393 0.019775607702379461 0.032074558885598403 2.0417408195475493e-05 0 1.2613453084321014e-05 0.0001628200644291114 1.8567026380452086e-16 0 9.8347531464821535e-11 7.261032032999875e-09 0 0 3.9616818996021836e-22 4.4340458301722588e-22 0 0 0 0 0.00025382045043414293 4.0530112730565585e-05 4.8767676603553299e-06 2.7197410705462573e-07 1.7153018012240353e-07 1.2121699020431227e-07 0 0 8.1629500419964824e-19 6.715099572756863e-13 0 0 0 0 0 0 0 0 8.7259403289990124e-09 3.9163861520686886e-10 0 0 4.4064337562237486e-17 0 0 0 0 0 0 0 0 0 0 0 0 0 6.600607612236537e-16 0 0 0 0 0 0 0 0 0 0 0
7	0 0 0.94504582271650706 4.1183294884571888e-05 0 0 1.0842708333802535e-09 2.3240517478186721e-06 0 0 0 0 0 0 0 0 0.0035884041383666796 0.021910622383754449 0.028985326217313142 1.9382034692437899e-05 0 1.4095436424014106e-05 0.00012932352701278685 9.308004665222433e-11 0 1.3636768757977452e-10 4.5550028828282816e-09 0 0 3.3493269646781808e-29 1.6844848340765091e-26 0 0 0 0 0.00021729754295501949 4.3957647873487036e-05 1.7063359750280421e-06 1.1989338746044576e-07 1.6300345566798043e-07 2.5873371965442716e-07 0 0 9.7730023941259591e-16 4.2248983020710594e-13 0 0 0 1.7145093263830748e-24 0 0 0 0 6.8043774955996635e-09 3.654217287577654e-10 0 2.5509462191807997e-12 1.3815575655160474e-13 1.1156397169712441e-13 0 0 0 0 0 0 0 0 0 0 0 0 3.9548107159373741e-20 0 0 0 0 0 0 0 0 0 0 0
8	0 0 0.92287435387731409 7.3173152331396641e-05 0 0 1.8986553975198769e-08 1.943330056132743e-06 0 1.8612447282733664e-22 0 0 0 0 0 0 0.0034137304815363111 0.042105655644092639 0.030811433496819456 2.5974070871500467e-05 0 5.0278896718511493e-05 0.00024484018459546475 3.7549050683810145e-10 0 6.000977298160967e-10 1.1840733981358179e-10 0 0 4.2208705011386118e-20 2.5957767950777696e-20 0 0 0 0 0.00035127079778755752 4.5805123907499413e-05 8.6082406188754951e-07 5.748926303396624e-08 3.7908972157896214e-07 1.4572073712912097e-07 0 0 1.2303163627212098e-11 7.0713675745504322e-13 0 0 0 2.4779398309387732e-29 0 0 0 0 7.7258971829198673e-08 4.3439494557029899e-10 8.9054182684614339e-15 3.3353283480860364e-11 1.9153294122912199e-14 5.4976923548808892e-14 0 0 0 2.4836169311345851e-21 0 0 0 0 0 0 0 0 3.205568215520372e-16 0 0 0 0 0 0 0 0 0 0 0
9	0 0 0.89294600514030997 6.9653546624869885e-05 0 0 3.661662738511206e-07 5.9179448771477308e-06 0 1.2506149884953014e-15 3.9278094948211551e-18 0 0 0 0 0 0.0030253018688862284 0.070130516274613544 0.032563695003267439 3.8410066580368558e-05 0 0.00017373562086915503 0.00039152047914217143 1.2677807155684086e-10 0 5.9603365701371014e-09 3.8686887600314177e-07 0 0 9.8154756259171816e-24 1.7730186389497319e-22 4.4541443437916428e-26 0 0 0 0.00060210926081181288 4.7031659430451356e-05 3.3389828504766017e-06 2.7433689816909438e-08 1.4898441228749483e-06 4.8283870972034337e-07 4.9438248120124893e-13 1.7023837555336204e-20 6.4834733305753192e-12 4.2499696349436435e-10 0 0 0 8.5616542265254227e-25 0 0 0 0 3.6012777172929455e-09 8.7064182583069465e-10 3.4208533485282188e-15 1.0197133252023882e-12 3.4778423583671494e-12 4.5887212446477074e-12 0 0 8.2808705352220176e-28 6.0745716350206993e-26 0 0 0 0 0 0 0 0 2.0628906853692221e-17 0 0 1.3195078682198102e-28 0 0 0 0 0 0 0 0
