Time	"FINISHED" "BLOCKED" "INITIALIZE" "(step 11 12)" "(step 11 21)" "(step 12 11)" "(step 12 13)" "(step 12 22)" "(step 13 12)" "(step 13 14)" "(step 13 23)" "(step 14 13)" "(step 14 15)" "(step 14 24)" "(step 15 14)" "(step 15 25)" "(step 21 11)" "(step 21 22)" "(step 21 31)" "(step 22 12)" "(step 22 21)" "(step 22 23)" "(step 22 32)" "(step 23 13)" "(step 23 22)" "(step 23 24)" "(step 23 33)" "(step 24 14)" "(step 24 23)" "(step 24 25)" "(step 24 34)" "(step 25 15)" "(step 25 24)" "(step 25 35)" "(step 31 21)" "(step 31 32)" "(step 31 41)" "(step 32 22)" "(step 32 31)" "(step 32 33)" "(step 32 42)" "(step 33 23)" "(step 33 32)" "(step 33 34)" "(step 33 43)" "(step 34 24)" "(step 34 33)" "(step 34 35)" "(step 34 44)" "(step 35 25)" "(step 35 34)" "(step 35 45)" "(step 41 31)" "(step 41 42)" "(step 41 51)" "(step 42 32)" "(step 42 41)" "(step 42 43)" "(step 42 52)" "(step 43 33)" "(step 43 42)" "(step 43 44)" "(step 43 53)" "(step 44 34)" "(step 44 43)" "(step 44 45)" "(step 44 54)" "(step 45 35)" "(step 45 44)" "(step 45 55)" "(step 51 41)" "(step 51 52)" "(step 52 42)" "(step 52 51)" "(step 52 53)" "(step 53 43)" "(step 53 52)" "(step 53 54)" "(step 54 44)" "(step 54 53)" "(step 54 55)" "(step 55 45)" "(step 55 54)"
0	0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1	0 0 0.94786624215119086 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0010652389932563166 0.01206533263328596 0.039003186222266846 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2	0 0 0.9144005080965838 2.4237545886997106e-06 5.4038355896061475e-05 0 0 0 0 0 0 0 0 0 0 0 0.0012130050119202288 0.014926786100324706 0.068371232294482387 3.2724105930892624e-06 7.2959403188698036e-05 5.2672914272319056e-06 0.00011743588648788561 0 0 0 0 0 0 0 0 0 0 0 0.00025080149098981368 0.00040369156187717751 0.00017857834164015319 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
3	0 0 0.92925787428741524 6.9993831356657897e-06 0.00011973922237074375 1.3099514001133742e-08 1.28006785771837e-09 8.7360471603070423e-08 0 0 0 0 0 0 0 0 0.0025222217168088274 0.018677727799501921 0.047826091965005202 1.0237253093354834e-05 0.00016923132076034829 9.3625185056539681e-06 0.00010449498215490438 1.5064709011840608e-10 1.028117436042183e-08 1.9933619530039182e-11 1.3604047569824462e-09 0 0 0 0 0 0 0 0.0007180181990475668 0.00048722314183011732 8.7383171480984333e-05 1.0171835438880582e-06 1.3773583101125604e-06 1.3459370333767993e-07 1.8225202019329917e-07 0 0 0 0 0 0 0 0 0 0 0 5.0190303855368852e-07 6.6411798619118716e-08 1.7842614047399714e-09 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
4	0 0 0.93645340835528312 1.4724859095137241e-05 0.00025432629399681916 4.4416827675553775e-08 3.8378383952467687e-09 2.8672913877473204e-07 1.0056784033452237e-12 1.9177880046412824e-15 9.2367567686968858e-13 0 0 0 0 0 0.0030271222755623244 0.019750721281675723 0.038601104726308649 1.3426749011845673e-05 0.000288533703499069 1.1463122126916107e-05 0.00012146025128024107 2.6558825799907896e-10 2.1120468015596517e-08 3.427351553772264e-11 2.3323876099254222e-09 3.4006084519618078e-18 1.637855334391944e-15 6.1970163853779558e-20 2.9847059687951253e-17 0 0 0 0.0010448497662639924 0.00035610615074284656 5.8023194598238494e-05 1.4473410043022343e-06 2.0966889187524922e-06 1.4766929128873116e-07 1.9911703399111938e-07 1.1170733987361508e-11 1.0674959855776201e-10 2.0356716315411628e-13 1.9453254343743518e-12 0 0 0 0 0 0 0 4.4698738433533483e-07 3.1541421570474105e-08 8.299347252431027e-10 1.952479642290988e-10 3.7020023138862085e-11 3.5580539501435155e-12 6.746254184196089e-13 0 0 0 0 0 0 0 0 0 0 0 5.3126666199138844e-13 9.6814092415325767e-15 0 0 0 0 0 0 0 0 0 0 0
5	0 0 0.93988008801159506 1.8355675133167995e-05 0.00041502436857081694 8.138157237231708e-08 6.2214526665365468e-09 5.0545427167369792e-07 2.9930586896498382e-12 5.4005007209419007e-15 2.6000673275251917e-12 5.7301921455455217e-20 2.1268219757989526e-24 7.2364019628557742e-21 0 0 0.0032542660540694594 0.019922412478100789 0.034311935420560394 1.4485493842655204e-05 0.00041385782063036206 1.1863118018876831e-05 0.00012620292938484825 3.2271323362094594e-10 2.8085573468210055e-08 4.0606544714902274e-11 2.7531433868373662e-09 5.7407910786434727e-18 2.772283177444549e-15 1.0211774077115937e-19 4.8942224595085087e-17 1.5602274768059057e-29 5.3085934338338097e-26 1.3301437992184206e-28 0.0013069319634983676 0.00027490575933382871 4.5018059369454931e-05 1.3414852706515408e-06 2.0595709567733185e-06 1.1495967908085503e-07 1.5433719997613119e-07 1.218444915603577e-11 1.2750267934036663e-10 2.1420308987614765e-13 2.0373919274545256e-12 9.7599379579835908e-20 6.5887682407519914e-18 2.445491657512905e-22 1.6509098557193898e-20 0 0 0 3.373443806490016e-07 1.9980281910302739e-08 5.2535046153460122e-10 1.9984871675290005e-10 3.4070259614282688e-11 3.1330755792587997e-12 5.9096165313231718e-13 1.7809933096484164e-16 2.3855311591568798e-16 4.4625327533652746e-19 5.9772885581544182e-19 0 0 0 0 0 0 0 2.5126261768759675e-13 4.2529582174518482e-15 5.3006322482844605e-17 1.4086922032648965e-18 1.3281490106317844e-19 0 0 0 0 0 0 0 0
6	0 0 0.9412250638485492 2.0769892001091968e-05 0.00058699451581562488 1.0736942434136623e-07 7.6853860039341269e-09 6.5174444561371742e-07 5.1094131720562802e-12 9.2793953812188273e-15 4.3072726338478825e-12 1.7083479471799813e-19 6.5677203583539044e-24 2.1470605299256251e-20 7.6761845105434083e-31 1.3610510445967441e-32 0.0034087042713685754 0.020359771949617876 0.031886232975702158 1.5277351661509201e-05 0.00053952099195529876 1.2390841653929051e-05 0.00012705357291308304 3.5349464593454162e-10 3.1451113272866715e-08 4.4307829385474664e-11 2.8880351922481915e-09 7.3280245688538777e-18 3.4110048117386967e-15 1.2992901718241316e-19 5.982987321837955e-17 2.8213992904516678e-29 9.2236441149955553e-26 2.3035318066707733e-28 0.001537855841389582 0.0002379868886931831 3.8093363410598288e-05 1.1837095800733478e-06 1.8070307509736404e-06 9.7762873818313874e-08 1.2607731310176738e-07 9.9430243988790728e-12 1.0480829018121886e-10 1.7344092464281915e-13 1.5851233402249732e-12 1.0829702701261925e-19 7.0581986407397187e-18 2.7045611704401354e-22 1.7542075966812401e-20 1.8923815746260889e-31 8.713835607869982e-29 3.0655189233581283e-32 2.5182977112399902e-07 1.5057494592229034e-08 3.8113104491416017e-10 1.5654387836615472e-10 2.4737484410930871e-11 2.3473965748003109e-12 4.2538450974194647e-13 1.7043284237240717e-16 2.1973907236823199e-16 4.233367171276562e-19 5.4479775632562901e-19 9.2274100544444143e-26 8.4303596593971535e-25 3.2461939160221149e-29 2.9657923593665743e-28 0 0 0 1.5011331511275243e-13 2.5640471501071727e-15 4.5229983292485364e-17 1.1460242645332345e-18 1.1207282727252913e-19 2.378238781586047e-24 4.3110927876629038e-25 8.3666209890759883e-28 0 0 0 0 0
7	0 0 0.94092678179519063 2.2427942969689218e-05 0.00076600561021444575 1.2389253476016849e-07 8.8607177368360435e-09 7.634185889052518e-07 6.5810937946364611e-12 1.2282676314354768e-14 5.5791862473433588e-12 3.0845465368309137e-19 1.2476677548732595e-23 3.9803888239657932e-20 2.5542346549108214e-30 4.655327703409305e-32 0.0034569473818138559 0.021026010375072127 0.030958482385708194 1.6024094442408861e-05 0.00066694324798581485 1.3318942248754058e-05 0.00013299775030912737 3.8771915371042262e-10 3.4321975895408815e-08 4.9944696894533142e-11 3.1769299390589214e-09 8.6159300495736645e-18 3.9190514305976452e-15 1.5703058087017274e-19 7.0564432608094292e-17 3.96996555042187e-29 1.2665444030514582e-25 3.2513911997995493e-28 0.0017498563934447121 0.0002247690502383872 3.5366341401405647e-05 1.0920221071370028e-06 1.6176286893989732e-06 9.3663761639741807e-08 1.1782339580617101e-07 8.9332172883262418e-12 9.1435588187081535e-11 1.6029743616722606e-13 1.4295938668039532e-12 9.46477284412772e-20 6.0290402523322296e-18 2.4296475886650989e-22 1.5378572245313373e-20 2.318105171201401e-31 1.0416806170911148e-28 3.7668751584319532e-32 1.9977119002182007e-07 1.3081964401648269e-08 3.2343923932765917e-10 1.2940343307457602e-10 1.9993336935951125e-11 2.0046446195752301e-12 3.5451120978363859e-13 1.3671012951541454e-16 1.7202833622034172e-16 3.4856649662463444e-19 4.3774718342962619e-19 9.5024909039625999e-26 8.4744210534616171e-25 3.4362289905952186e-29 3.0636328459974446e-28 1.1004200332637466e-38 6.965146998673976e-37 3.5479070786538954e-41 1.0834593117021434e-13 1.9147119022241475e-15 3.3470798747403997e-17 8.2640781104240213e-19 8.5126588952061129e-20 2.2563147978275836e-24 3.990295243776103e-25 8.1567749879660011e-28 2.4292281488123832e-35 3.050743778406316e-35 1.237400408990302e-39 0 0
8	0 0 0.92219227755324462 3.7315239002205001e-05 0.00092892598927926966 1.222439850812098e-07 2.7830456168048288e-08 1.480049087115755e-06 1.246663657057348e-11 7.5126293914133111e-14 2.0557890005170174e-11 1.2028578565118792e-18 1.5857345160835782e-22 3.0435992707332575e-19 2.5797185090337386e-29 9.2283630768605709e-31 0.0031348869873817349 0.037610460045699436 0.032596151783877363 2.7012418348603987e-05 0.00078284955201325212 4.4017952122732187e-05 0.00026472703213031368 1.2268151220775721e-09 6.5617453910660514e-08 3.1015492870368411e-10 1.187048391851824e-08 5.1634055119459571e-17 1.4133129787377227e-14 1.8470716354863825e-18 4.9935363931462518e-16 4.6074572558094736e-28 8.8434356934729463e-25 4.4558648081539862e-27 0.0019172762062563565 0.00041842789097604259 3.9710493066382961e-05 1.8573149297342823e-06 1.6244695332349983e-06 3.1901828644025928e-07 2.4138176579996116e-07 2.7463043436571303e-11 1.6703818322664195e-10 9.6823101975391351e-13 5.194918787428381e-12 5.0540898425846645e-19 1.9359453516807026e-17 2.5465037863439107e-21 9.69704227519235e-20 2.173053540269102e-30 5.8748701819930976e-28 4.1697182581460814e-31 1.832719539076077e-07 2.53837045046841e-08 3.7775612436898729e-10 2.2718365252317543e-10 2.1393308391015048e-11 7.0223662891728831e-12 7.4715004918827635e-13 4.1472308579698055e-16 3.1385234054044731e-16 2.0765963090358427e-18 1.568960572129502e-18 4.9245953876129424e-25 2.6423518960077037e-24 3.495244202037823e-28 1.874797752393607e-27 1.3210423089322538e-37 5.0305049111091573e-36 5.0294288221621822e-40 1.0595960417342151e-13 3.6921170681311793e-15 5.8231006136947065e-17 8.6585228582879713e-19 2.9098598933664651e-19 6.7838902163280746e-24 7.2174477406044421e-25 4.8132298711587364e-27 1.640825337691836e-34 1.2397162024603547e-34 1.6404741388907273e-38 1.3878837908860062e-48 7.4444050811498057e-48
9	0 0 0.89300134329537784 4.8804071338316814e-05 0.0010591594830534994 1.6686103669555632e-07 8.6636485801439991e-08 3.5882743527532411e-06 4.976490518437077e-11 6.1362577019847844e-13 1.258354450642875e-10 1.3615933944143535e-17 3.5368797794012884e-21 5.0769310459579145e-18 8.5234676930902554e-28 4.4869671403050646e-29 0.0028180408501491542 0.064233213146141221 0.034106988249664252 6.3437190029042262e-05 0.00098638261403319024 0.00015482839216761731 0.00069781835210631102 7.512505779262336e-09 2.6364785324565311e-07 2.7956547199861463e-09 8.0066281711071994e-08 8.3356442032620264e-16 1.6974673936452391e-13 4.3880328358471163e-17 8.8718259412939389e-15 1.9763225178215687e-26 2.8367538963692371e-23 2.1034301930673687e-25 0.0020669947574453356 0.00070375410381833415 4.5531138691051694e-05 4.7394041917895342e-06 2.5763748545545779e-06 1.2478840814237271e-06 7.0338735958690797e-07 1.8216785578963911e-10 7.7927616247433821e-10 9.4651759984685102e-12 3.7978882155344928e-11 8.3260163657477414e-18 2.3784521778987284e-16 6.1734243819957358e-20 1.7580772980342091e-18 8.7130145765545136e-29 1.7615925126682322e-26 1.8399427960059545e-29 1.9539296040565911e-07 4.3708748209926068e-08 4.8383162643471352e-10 6.6042818386440245e-10 4.6868467357603436e-11 3.062593365219467e-11 2.4362856351683966e-12 3.0062795325496549e-15 1.6964324988073048e-15 2.2172282947445e-17 1.2528139269747899e-17 8.4143183664217662e-24 3.3758348788932907e-23 8.7884250507514199e-27 3.5253707311319408e-26 5.3932520557789766e-36 1.5358973091937267e-34 2.259707601730991e-38 1.3399281617394889e-13 6.9001679123773789e-15 1.8683231754023851e-16 2.0803785648444456e-18 1.3758861802580545e-18 5.162820383429877e-23 4.1079016424909677e-24 5.3908028424867849e-26 2.9353866620191367e-33 1.6585998969973459e-33 4.318719421575406e-37 7.7615120919589486e-47 3.1134369551018729e-46
